noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Cluster
adjustment,0.30338445,0.0,0.94282335,0.88450399,0.0,0.97728607,0.38709995,0.0,0.0,-0.9775185,-1.91081041,0
admin,-1.92042768,0.79912284,0.76531869,0.82027999,0.0,0.6750474,0.0,-0.58620912,-0.69901371,-0.91604286,-2.7789309,2
administration,-0.4498103,0.7769832,0.46294281,0.78148773,0.0,0.35112604,0.0,0.0,0.0,-0.96722633,-1.85512376,2
administrator,-1.97461396,0.40150902,0.71131817,0.7297689,0.0,0.29674348,0.0,-0.75686431,-0.63656098,-0.95113719,-1.76939106,2
admire,-2.07570979,0.0,0.0,0.75187543,0.0,0.0,0.0,-0.88551354,0.0,-0.97146422,-0.97060746,2
admission,-0.16837239,0.0,0.8620306,0.89009252,0.0,0.94485915,0.0,0.0,0.0,-0.95292872,-1.91242594,0
adobe,0.1225718,0.3710835,0.7607151,0.90995497,0.0,0.0,0.0,0.0,0.0,-0.94950002,-0.96968174,0
adoption,1.16455081,0.0,0.91634649,0.90610471,0.0,0.92907277,0.27716324,0.0,0.0,-0.978948,-0.8851884,0
adrenalin,2.20457807,0.0,0.83267894,0.95417857,0.0,0.94126314,0.45040339,0.0,0.0,-0.97394598,0.0,0
adrenaline,0.17561191,0.0,0.81487715,0.96354219,0.0,0.8211917,0.47582769,0.0,0.0,-0.96873719,-1.93108964,0
adult,-1.97010037,0.0,0.62130409,0.67290699,0.0,0.0,0.28802648,-0.78705907,-0.85466838,-0.94807893,-0.96253157,2
adulthood,-1.16371611,0.0,0.0,0.89516687,0.0,0.34638974,0.26598924,-0.75385427,0.0,-0.97018486,-0.94722283,2
advance,0.13904634,0.0,0.85188907,0.93035635,0.0,0.95650423,0.26108831,0.0,0.0,-0.98666632,-1.8741253,0
advancement,1.21927151,0.0,0.8776994,0.93522215,0.0,0.96340632,0.38339138,0.0,0.0,-0.98345041,-0.95699733,0
advantage,1.27894059,0.0,0.88000339,0.95290345,0.0,0.91229391,0.41407803,0.0,0.0,-0.92589235,-0.95444584,0
advent,-0.09606466,0.41832477,0.86405659,0.95980921,0.0,0.93513596,0.0,0.0,0.0,-0.96854091,-2.30485028,0
adverb,1.82561553,0.2627379,0.94501534,0.95401692,0.0,0.7615436,0.47466961,0.0,0.0,-0.98500848,-0.58735937,0
advertisement,0.73025391,0.0,0.9437612,0.77499726,0.0,0.91596103,0.47172651,-0.50682133,0.0,-0.9003011,-0.96906966,0
advertising,2.26660696,0.0,0.87829721,0.89918244,0.0,0.95458904,0.4888339,0.0,0.0,-0.95429564,0.0,0
advice,2.553994,0.26314947,0.8708708,0.95385349,0.0,0.92614797,0.48564908,0.0,0.0,-0.9456768,0.0,0
adviser,-1.31277949,0.381024,0.74925432,0.44111148,0.0,0.0,0.27951288,-0.71401429,-0.5253861,-0.95780373,-0.96647805,2
advocacy,0.87732309,0.44345587,0.82570836,0.94700056,0.0,0.95902401,0.47101834,0.0,0.0,-0.96859562,-1.80028844,0
advocate,-2.33404821,0.44772053,0.75992811,0.76058555,0.0,0.0,0.0,-0.86235416,-0.52589601,-0.98702013,-1.92701209,2
affair,1.68356517,0.32930002,0.89557156,0.87666509,0.0,0.93828481,0.2699672,0.0,0.0,-0.98268849,-0.64353502,0
affect,0.48820847,0.0,0.8336249,0.93606606,0.0,0.80341911,0.3516092,-0.53938961,0.0,-0.94166309,-0.9554581,0
affidavit,1.23674506,0.0,0.93679875,0.90042722,0.0,0.85275799,0.42330247,0.0,0.0,-0.92616796,-0.95037341,0
affiliate,-0.57070428,0.93664184,0.89954165,0.94145334,0.0,0.62155974,0.0,-0.64860803,-0.58901131,-0.97189277,-1.76038873,2
affinity,-0.02557632,0.34112924,0.895468,0.97160161,0.0,0.83246973,0.46111923,0.0,0.0,-0.96246898,-2.56489515,0
afoul,-0.78269383,0.3539938,0.31310123,0.91833073,0.0,0.0,0.0,-0.52833062,-0.5472241,-0.65162694,-0.64093792,2
afterlife,0.11827669,0.25446978,0.83303726,0.95049763,0.0,0.85383886,0.0,0.0,0.0,-0.86814892,-1.90541792,0
aftermath,-1.06861264,0.0,0.86336502,0.93380043,0.0,0.80347347,0.0,0.0,0.0,-0.94537878,-2.72387278,0
afternoon,-0.07865819,0.26176932,0.89615899,0.80383947,0.0,0.80555448,0.0,0.0,0.0,-0.95377487,-1.8922056,0
aftershave,0.97882229,0.29214507,0.89347747,0.90168491,0.0,0.94813037,0.4825384,0.0,0.0,-0.95200968,-1.58714426,0
aftershock,1.45959604,0.26171824,0.89871129,0.88657868,0.0,0.93429315,0.37398899,0.0,0.0,-0.94756621,-0.9481281,0
afterthought,2.0024707,0.27206582,0.87986648,0.91182494,0.0,0.89943472,0.38298768,-0.55048949,0.0,-0.79321945,0.0,0
age,-1.67454612,0.0,0.41882065,0.86870351,0.0,0.27604121,0.0,-0.71293628,0.0,-0.93020773,-1.59496748,2
agency,0.48785669,0.4707098,0.74928597,0.91421744,0.0,0.0,0.25531352,0.0,0.0,-0.93499857,-0.96667147,0
agenda,0.64588869,0.2810038,0.90467185,0.94062829,0.0,0.88461453,0.47410515,0.0,0.0,-0.92032492,-1.91881001,0
agent,-1.29867741,0.41502964,0.75355512,0.71831736,0.0,0.0,0.0,-0.59693182,-0.68384528,-0.9393611,-0.96544135,2
aggradation,1.93927044,0.26530439,0.83578387,0.94513851,0.0,0.95098138,0.396543,0.0,0.0,-0.94591367,-0.50856704,0
aggression,0.52461848,0.25106552,0.86577502,0.92417583,0.0,0.9320972,0.46059316,0.0,0.0,-0.97729069,-1.93179756,0
aglet,-0.16099876,0.4811568,0.77291828,0.9194378,0.0,0.43983823,0.0,0.0,0.0,-0.95875633,-1.81559354,0
agony,0.26543522,0.0,0.85327598,0.92824405,0.0,0.89323756,0.45716208,0.0,0.0,-0.941571,-1.92491347,0
agreement,0.62563375,0.36446503,0.906858,0.90975502,0.0,0.87536293,0.41108811,0.0,0.0,-0.98615468,-1.85574067,0
agriculture,0.24779347,0.0,0.77684164,0.94405368,0.0,0.93529552,0.48411113,0.0,0.0,-0.96984273,-1.92266577,0
aid,0.60709637,0.0,0.85533866,0.8699933,0.0,0.83925804,0.48248562,0.0,0.0,-0.95353305,-1.4864462,0
aide,-1.95493409,0.0,0.77100903,0.68726507,0.0,0.26523724,0.32131836,-0.60180259,-0.60161847,-0.98137134,-1.81497139,2
aim,-1.33029312,0.0,0.8824228,0.87157625,0.0,0.30896544,0.0,0.0,0.0,-0.96398568,-2.42927194,0
air,0.50114664,0.0,0.77361122,0.92089823,0.0,0.29711646,0.4683722,0.0,0.0,-0.98206294,-0.97678852,0
airbag,0.0824753,0.0,0.94487739,0.92133382,0.0,0.60502428,0.33312938,0.0,0.0,-0.94187069,-1.78001887,0
airbus,0.22793302,0.43339863,0.9508464,0.94049597,0.0,0.410041,0.32197571,0.0,0.0,-0.97448736,-1.85433733,0
aircraft,-0.49869847,0.62668762,0.86720943,0.78632602,0.0,0.30980107,0.37596616,0.0,-0.59139919,-0.94097281,-1.93231678,2
airfare,1.65851039,0.29726315,0.92270672,0.93676993,0.0,0.96796894,0.41213629,0.0,0.0,-0.96826905,-0.91006559,0
airfield,-0.53992173,0.0,0.91291243,0.91625094,0.0,0.0,0.26464859,0.0,0.0,-0.96775216,-1.66598153,0
airforce,0.70882905,0.95660159,0.82580355,0.81652695,0.0,0.34535396,0.27954233,0.0,0.0,-0.93718916,-1.57781017,0
airline,-0.66694108,0.7164202,0.8085205,0.89694393,0.0,0.35301769,0.0,0.0,-0.55261481,-0.9671042,-1.92212439,2
airmail,-0.26555717,0.35582733,0.87511012,0.86861348,0.0,0.89045477,0.48724094,0.0,0.0,-0.96328914,-2.77951467,0
airman,-0.87126896,0.3315542,0.80614927,0.69494069,0.0,0.32260525,0.383616,-0.67683452,-0.81738776,-0.94468158,-0.97123051,2
airplane,0.15593609,0.4066816,0.95109814,0.9257243,0.0,0.35309121,0.42552981,0.0,0.0,-0.97223485,-1.93395412,0
airport,-1.11158666,0.0,0.84566996,0.94288707,0.0,0.0,0.0,0.0,0.0,-0.97428751,-1.92585617,0
airship,-0.16972908,0.45860749,0.93758598,0.89742991,0.0,0.30092111,0.0,0.0,0.0,-0.9389661,-1.82530749,0
airspace,-0.03562754,0.0,0.74150959,0.91821322,0.0,0.61810076,0.46703428,0.0,0.0,-0.8563078,-1.92417759,0
alarm,1.01093099,0.25383979,0.87913531,0.8850053,0.0,0.77805218,0.0,0.0,0.0,-0.98086911,-0.80423248,0
alb,1.61903614,0.468826,0.78707948,0.94096869,0.0,0.57566261,0.3414894,0.0,0.0,-0.97548133,-0.51950872,0
albatross,0.91804484,0.39859658,0.86415792,0.91560093,0.0,0.60135472,0.465231,0.0,0.0,-0.66361398,-1.66328233,0
album,1.65094337,0.381134,0.94650915,0.84473112,0.0,0.93422863,0.40992859,0.0,0.0,-0.91493285,-0.95065528,0
alcohol,1.41483966,0.0,0.86575839,0.91296372,0.0,0.89152253,0.48944566,0.0,0.0,-0.97053778,-0.77431285,0
alcove,1.15723908,0.43319777,0.88504684,0.94581667,0.0,0.70797008,0.0,0.0,0.0,-0.94670111,-0.86809117,0
alder,1.40000153,0.92712891,0.4834578,0.90152168,0.0,0.60330939,0.3245635,0.0,0.0,-0.94042057,-0.8995592,0
ale,0.44258675,0.0,0.93182376,0.95219049,0.0,0.95006454,0.48935452,0.0,0.0,-0.97045445,-1.91039211,0
alert,1.51670387,0.32313761,0.88605654,0.91032717,0.0,0.91748366,0.34455162,0.0,0.0,-0.91920078,-0.94565195,0
alfalfa,1.10354757,0.55482349,0.85754922,0.93317389,0.0,0.94420335,0.48166052,0.0,0.0,-0.97063702,-1.69722587,0
algebra,0.96968681,0.47254103,0.88075057,0.93466866,0.0,0.95644009,0.48615429,0.0,0.0,-0.85310841,-1.90775943,0
algorithm,1.98683831,0.47849834,0.92919987,0.95074561,0.0,0.92739365,0.41026577,0.0,0.0,-0.74951321,-0.95975173,0
alias,1.70279431,0.25730544,0.96565056,0.9468739,0.0,0.83947274,0.40441617,0.0,0.0,-0.85755235,-0.85337216,0
alibi,2.14756814,0.0,0.90344003,0.95193759,0.0,0.8067804,0.37578472,0.0,0.0,-0.8903746,0.0,0
alien,-0.00911659,0.27271697,0.79859218,0.79291046,0.0,0.26743507,0.0,0.0,-0.6776002,-0.7293458,-0.73382527,2
allegation,-0.56533575,0.0,0.91399738,0.88087648,0.0,0.83029738,0.42552191,0.0,0.0,-0.98730212,-2.62872678,0
allergist,-0.73274285,0.39520723,0.8059862,0.93746921,0.0,0.37460285,0.0,-0.86701137,0.0,-0.92511576,-1.4538812,2
alley,-0.35813224,0.0,0.93131447,0.95695746,0.0,0.0,0.29169238,0.0,0.0,-0.97706544,-1.5610311,0
alliance,1.98220515,0.93780944,0.88756669,0.9366968,0.0,0.87730792,0.25432089,0.0,0.0,-0.97571677,-0.93577981,0
alligator,2.43204725,0.38351741,0.85386896,0.92122546,0.0,0.63422054,0.56801444,0.0,0.0,-0.92879957,0.0,0
allocation,-0.02187255,0.34423164,0.89070436,0.93186784,0.0,0.88512138,0.44220382,0.0,0.0,-0.96542859,-2.55057299,0
allowance,0.32815215,0.0,0.91450486,0.93043482,0.0,0.84010962,0.46365437,0.0,0.0,-0.92489445,-1.89565706,0
alloy,0.79768112,0.36638623,0.96223688,0.94563678,0.0,0.68583822,0.45319802,0.0,0.0,-0.95435518,-1.66125983,0
alluvium,1.98707914,0.40374398,0.8652412,0.96256065,0.0,0.89282829,0.4596512,0.0,0.0,-0.96062148,-0.6363247,0
almanac,2.39263976,0.31761873,0.94219723,0.94482309,0.0,0.79028326,0.31297526,0.0,0.0,-0.91525781,0.0,0
almighty,-0.48969972,0.0,0.0,0.92928743,0.0,0.0,0.0,-0.51591653,0.0,-0.90307063,0.0,2
almond,-1.70089728,0.0,0.92336637,0.90265468,0.0,0.38542065,0.44837904,0.0,-0.81154549,-0.96986806,-2.57930446,2
alpaca,2.32817963,0.89682308,0.71462891,0.90657094,0.0,0.59083465,0.80835512,0.0,0.0,-0.94839782,-0.64063525,0
alpenglow,1.06469834,0.88532126,0.82016155,0.92440495,0.0,0.89762935,0.41008541,0.0,0.0,-0.96865964,-1.90424454,0
